county,osm_id,name,category,subcategory,lat,lon,admin_division
dublin,w1374655282,,water,waterway=stream,53.2527724,-6.2160582,
dublin,w1374655283,,water,natural=water,53.255922,-6.2166815,
dublin,w1374655286,,water,natural=water,53.2435235,-6.2033877,
dublin,w1374655287,,water,waterway=stream,53.2434787,-6.2032882,
dublin,w1374663601,,water,waterway=stream,53.2548729,-6.2293607,
dublin,w1374663602,,water,waterway=stream,53.2541116,-6.2310691,
dublin,w1374663603,,water,waterway=stream,53.2542395,-6.2308072,
dublin,w1374864880,,water,waterway=stream,53.5760865,-6.2718922,
dublin,w1374864881,,water,waterway=stream,53.5758083,-6.2724815,
dublin,w1375071802,,water,waterway=river,53.5003856,-6.1731847,
dublin,w1375071804,,water,waterway=river,53.4995432,-6.1823486,
dublin,w1375071805,,water,waterway=river,53.500787,-6.1790961,
dublin,w1375071806,,water,waterway=river,53.5004822,-6.1774099,
dublin,w1375092028,,water,waterway=stream,53.506551,-6.1686288,
dublin,w1375092029,,water,waterway=stream,53.5065689,-6.1701613,
dublin,w1375092030,,water,waterway=stream,53.5065373,-6.1697874,
dublin,w1375092031,,water,waterway=river,53.5037617,-6.1707143,
dublin,w1375092033,,water,waterway=river,53.5023839,-6.1694779,
dublin,w1375092034,,water,natural=water,53.5039322,-6.1625076,
dublin,w1375092035,,water,waterway=river,53.5010444,-6.1671898,
dublin,w1375092037,,water,waterway=stream,53.5039192,-6.1625006,
dublin,w1375109647,,water,waterway=stream,53.2601284,-6.2272782,
dublin,w1375109648,,water,natural=water,53.2606828,-6.2267079,
dublin,w1375109649,,water,waterway=stream,53.2590512,-6.2280548,
dublin,w1375109650,,water,waterway=stream,53.2605441,-6.2268869,
dublin,w1375109651,,water,waterway=stream,53.2594789,-6.2277946,
dublin,w1375109652,,water,waterway=stream,53.2597677,-6.2275418,
dublin,w1375316533,,water,natural=water,53.5882949,-6.2683571,
dublin,w1375316540,,water,natural=water,53.5732139,-6.2648995,
dublin,w1375316541,,water,natural=water,53.5471407,-6.2692173,
dublin,w1375353113,Glebe stream,water,waterway=stream,53.4549743,-6.2232651,
dublin,w1375543047,,water,natural=water,53.3297769,-6.4559793,
dublin,w1375543048,,water,natural=water,53.3298507,-6.4576535,
dublin,w1375543049,,water,natural=water,53.3291822,-6.459802,
dublin,w1375673332,,water,natural=water,53.251493,-6.2246153,
dublin,w1376723334,,water,natural=water,53.3748663,-6.3539489,
dublin,w1376867540,,water,waterway=stream,53.454422,-6.2252922,
dublin,w1377698582,,water,natural=water,53.2778312,-6.1999575,
dublin,w1378148459,,water,waterway=stream,53.259259,-6.210332,
dublin,w1379192385,,water,waterway=stream,53.2567109,-6.2123776,
dublin,w1379192397,,water,natural=water,53.247088,-6.2189393,
dublin,w1379358169,,water,waterway=stream,53.3764476,-6.3046766,
dublin,w1379850466,Grand Canal,water,waterway=canal,53.3339397,-6.2985506,
dublin,w1380112811,,water,natural=water,53.2552181,-6.1695187,
dublin,w1383244528,Santry River,water,waterway=stream,53.4125779,-6.2763105,
dublin,w1383244529,Santry River,water,waterway=stream,53.4105998,-6.2747046,
dublin,w1383244530,Santry River,water,waterway=stream,53.4156101,-6.2779695,
dublin,w1383244531,Santry River,water,waterway=stream,53.4144852,-6.277397,
dublin,w1383342139,Carysfort-Maretimo Stream,water,waterway=stream,53.293806,-6.1826276,
dublin,w1383878186,Priory Stream,water,waterway=stream,53.3038747,-6.181593,
dublin,w1383878187,Priory Stream,water,waterway=stream,53.3045772,-6.1823686,
dublin,w1383878188,Priory Stream,water,waterway=stream,53.3044013,-6.1825777,
dublin,w1385194865,,water,natural=water,53.2205894,-6.1415192,
dublin,w1387416750,Dodder,water,waterway=river,53.2323097,-6.356854,
dublin,w1387797704,,water,waterway=stream,53.4179891,-6.1435442,
dublin,w1388040143,,water,natural=water,53.4148694,-6.423196,
dublin,w1390818884,Stradbrook Stream,water,waterway=stream,53.2924569,-6.1647288,
dublin,w1390818885,Stradbrook Stream,water,waterway=stream,53.2919827,-6.1662576,
dublin,w1390818886,Stradbrook Stream,water,waterway=stream,53.2920446,-6.16604,
dublin,w1390818889,Stradbrook Stream,water,waterway=stream,53.293399,-6.158523,
dublin,w1390818890,Stradbrook Stream,water,waterway=stream,53.2934487,-6.1587401,
dublin,w1390818892,,water,waterway=stream,53.2792682,-6.1434321,
dublin,w1390818893,,water,waterway=stream,53.2796201,-6.1425938,
dublin,w1390818894,,water,waterway=stream,53.2879201,-6.148918,
dublin,w1390818895,,water,waterway=stream,53.2797229,-6.1438104,
dublin,w1390854700,,water,natural=water,53.2081657,-6.1547658,
dublin,w1392237690,,water,waterway=stream,53.564155,-6.0961489,
dublin,w1392239086,,water,waterway=stream,53.2488491,-6.1833374,
dublin,w1392239087,,water,waterway=stream,53.2491444,-6.1831808,
dublin,w1392239088,Golf Stream,water,waterway=stream,53.2446389,-6.1952301,
dublin,w1392239089,Golf Stream,water,waterway=stream,53.2454743,-6.1938229,
dublin,w1392239092,Golf Stream,water,waterway=stream,53.2437215,-6.1969874,
dublin,w1392239093,Golf Stream,water,waterway=stream,53.2438745,-6.1967368,
dublin,w1396712778,Slang,water,waterway=stream,53.2942944,-6.2467942,
dublin,w1396712779,Slang,water,waterway=stream,53.2946396,-6.2469564,
dublin,w1408936824,,water,waterway=stream,53.248616,-6.1834804,
dublin,w1408936825,,water,waterway=stream,53.2484759,-6.1837346,
dublin,w1409340576,,water,natural=water,53.3171902,-6.2298272,
dublin,w1412622393,Priory Stream,water,waterway=stream,53.2974803,-6.1956447,
dublin,w1412622394,Priory Stream,water,waterway=stream,53.2974801,-6.1963349,
dublin,w1413242955,,water,natural=water,53.2772705,-6.4477195,
dublin,w1413250188,,water,waterway=stream,53.3212976,-6.2056736,
dublin,w1414669296,,water,waterway=stream,53.3042925,-6.1827367,
dublin,w1414679036,,water,natural=water,53.300164,-6.1827294,
dublin,w1416910023,,water,waterway=stream,53.260964,-6.2257241,
dublin,w1416910024,,water,waterway=stream,53.2608099,-6.2264842,
dublin,w1416910028,Ballyogan Stream,water,waterway=stream,53.252787,-6.228264,
dublin,w1416910029,Ballyogan Stream,water,waterway=stream,53.2526426,-6.2285172,
dublin,w1417617531,Ballybetagh Bog,water,natural=wetland,53.2228547,-6.2028503,
dublin,w1417617535,Ballybetagh Bog,water,natural=wetland,53.2243479,-6.2050056,
dublin,w1417725203,Delvin River,water,waterway=stream,53.6100963,-6.2725846,
dublin,w1417731641,,water,waterway=stream,53.6270602,-6.2303945,
dublin,w1417731642,,water,waterway=stream,53.6271907,-6.230342,
dublin,w1419477206,Racecourse Stream,water,waterway=stream,53.2595065,-6.187382,
dublin,w1421701467,,water,waterway=stream,53.2372245,-6.2106389,
dublin,w1421701468,,water,waterway=stream,53.2369561,-6.2086812,
dublin,w1421701469,,water,waterway=stream,53.2370195,-6.2093285,
dublin,w1421701470,,water,waterway=stream,53.2278123,-6.2264863,
dublin,w1421701471,,water,waterway=stream,53.2299283,-6.2245534,
dublin,w1421701472,,water,waterway=stream,53.231623,-6.2225531,
dublin,w1421701473,,water,waterway=stream,53.2310627,-6.2231024,
dublin,w1424990333,,water,natural=water,53.3805409,-6.3591052,
dublin,w1425622385,,water,natural=water,53.3024668,-6.4025211,
dublin,w1425622386,,water,natural=water,53.3026627,-6.4012886,
dublin,w1425622387,,water,natural=water,53.3026135,-6.4008186,
dublin,w1425622388,,water,natural=water,53.302432,-6.4031682,
dublin,w1425622389,,water,natural=water,53.3021185,-6.4035135,
dublin,w1425626251,,water,natural=water,53.3018104,-6.3994417,
dublin,w1425626252,,water,natural=water,53.3014048,-6.3985011,
dublin,w1429815559,,water,natural=water,53.2364611,-6.16302,
dublin,w1429815575,,water,natural=water,53.2372797,-6.1653693,
dublin,w1430908022,,water,natural=water,53.2775987,-6.3044942,
dublin,w1431247700,,water,waterway=stream,53.297453,-6.4440569,
dublin,w1431247701,,water,natural=water,53.2894125,-6.4549634,
dublin,w1431247702,,water,waterway=stream,53.2959613,-6.4422864,
dublin,w1431337177,Priory Stream,water,waterway=stream,53.2989022,-6.1858452,
dublin,w1431821627,,water,natural=water,53.2480211,-6.1133633,
dublin,w1433170993,,water,waterway=stream,53.2300557,-6.341245,
dublin,w1433170994,,water,waterway=stream,53.2293885,-6.3430674,
dublin,w1434378433,,water,natural=water,53.4035077,-6.2854444,
dublin,w1435414904,Crinken Stream,water,waterway=stream,53.2239062,-6.1288286,
dublin,w1435414905,Crinken Stream,water,waterway=stream,53.2186908,-6.1233898,
dublin,w1435414906,Crinken Stream,water,waterway=stream,53.2158664,-6.1186083,
dublin,w1435414907,Crinken Stream,water,waterway=stream,53.2159022,-6.1189735,
dublin,w1435414908,Crinken Stream,water,waterway=stream,53.2160803,-6.1192633,
dublin,w1435414909,Crinken Stream,water,waterway=stream,53.2162834,-6.1194357,
dublin,w1435414910,Crinken Stream,water,waterway=stream,53.2163396,-6.1194714,
dublin,w1435414911,Crinken Stream,water,waterway=stream,53.2163607,-6.119584,
dublin,w1435414912,Crinken Stream,water,waterway=stream,53.2225102,-6.1276199,
dublin,w1435414913,Crinken Stream,water,waterway=stream,53.2211802,-6.126768,
dublin,w1436286703,,water,waterway=stream,53.2559224,-6.2285074,
dublin,w1436286704,,water,waterway=stream,53.2552554,-6.2318377,
dublin,w1443456407,,water,natural=water,53.4071338,-6.355749,
dublin,w1444510447,Drainage Ditch,water,waterway=stream,53.2514412,-6.2927542,
dublin,w1444519861,,water,natural=water,53.2477246,-6.1851337,
dublin,w1444519862,,water,natural=water,53.25049,-6.1805841,
dublin,w1444521468,,water,natural=water,53.24112,-6.1424948,
dublin,w1444521474,,water,natural=water,53.2411628,-6.1393496,
dublin,w1444523275,,water,natural=water,53.4146613,-6.423317,
dublin,w1444523276,,water,natural=water,53.4146597,-6.4235071,
dublin,w1444523277,,water,natural=water,53.4147591,-6.4234216,
dublin,w1444589344,,water,natural=water,53.2468251,-6.1904469,
dublin,w1445293077,,water,natural=water,53.2487476,-6.3225309,
dublin,w1445293078,,water,waterway=stream,53.2586484,-6.3284739,
dublin,w1445293079,,water,waterway=stream,53.2582408,-6.3287684,
dublin,w1445848916,,water,waterway=stream,53.2268175,-6.138345,
dublin,w1446366123,,water,natural=water,53.2770964,-6.1607657,
dublin,w1446366133,,water,natural=water,53.2666253,-6.149114,
dublin,w1447523021,,water,natural=wetland,53.2631893,-6.1454297,
dublin,w1447523022,,water,natural=wetland,53.2611405,-6.1432575,
dublin,w1447523023,,water,natural=water,53.2637438,-6.1460538,
dublin,w1447523024,,water,natural=water,53.2634351,-6.1457426,
dublin,w1447523025,,water,natural=water,53.2632376,-6.1453033,
dublin,w1447523026,,water,natural=water,53.2629296,-6.144909,
dublin,w1447523027,,water,natural=water,53.2622743,-6.1441564,
dublin,w1447523030,,water,natural=wetland,53.2607539,-6.1429813,
dublin,w1448332273,,water,waterway=stream,53.2958761,-6.4223527,
dublin,w1448332274,,water,waterway=stream,53.2951824,-6.4217528,
dublin,w1448332275,,water,waterway=stream,53.2953966,-6.4219468,
dublin,w1448332276,,water,waterway=stream,53.2955848,-6.4221172,
dublin,w1448332277,,water,waterway=stream,53.2963569,-6.4222156,
dublin,w1448332278,,water,waterway=stream,53.2975421,-6.4228101,
dublin,w1448332279,,water,waterway=stream,53.2903795,-6.419563,
dublin,w1448332280,,water,waterway=stream,53.2996445,-6.4238006,
dublin,w1448332281,,water,waterway=stream,53.3014849,-6.4238883,
dublin,w1448332282,,water,waterway=stream,53.3023963,-6.4245376,
dublin,w1448332283,,water,waterway=stream,53.3022138,-6.424065,
dublin,w1448332284,,water,waterway=stream,53.3026653,-6.4250526,
dublin,w1448332285,,water,waterway=stream,53.3030628,-6.4259775,
dublin,w1448332286,,water,waterway=stream,53.282326,-6.4187307,
dublin,w1448332287,,water,waterway=stream,53.2790456,-6.4204504,
dublin,w1449541038,,water,waterway=stream,53.2253025,-6.2051196,
dublin,w1449541039,Ballybetagh Bog,water,natural=wetland,53.2222155,-6.2033715,
dublin,w1450703131,,water,waterway=stream,53.2150767,-6.1711854,
dublin,w1450703132,,water,waterway=stream,53.2151008,-6.1706537,
dublin,w1450703133,,water,waterway=stream,53.2151072,-6.1705841,
dublin,w1450703134,,water,waterway=stream,53.215115,-6.1705096,
dublin,w1450703135,,water,waterway=stream,53.2151688,-6.1698153,
dublin,w1450703136,,water,waterway=stream,53.2292923,-6.1962146,
dublin,w1450703137,,water,waterway=stream,53.2304506,-6.194572,
dublin,w1450703138,,water,waterway=stream,53.2304877,-6.1945437,
dublin,w1450703139,,water,waterway=stream,53.2314056,-6.194097,
dublin,w1452655951,,water,waterway=stream,53.2712745,-6.183009,
dublin,w1452655952,,water,waterway=stream,53.269214,-6.1800747,
dublin,w1452655953,,water,waterway=stream,53.2705632,-6.1819556,
dublin,w1452655954,St Bride's Stream,water,waterway=stream,53.2667563,-6.1786726,
dublin,w1452655955,St Bride's Stream,water,waterway=stream,53.2665689,-6.1758941,
dublin,w1452655956,St Bride's Stream,water,waterway=stream,53.2669376,-6.1769798,
dublin,w1452655957,St Bride's Stream,water,waterway=stream,53.2661391,-6.1747705,
dublin,w1452655958,St Bride's Stream,water,waterway=stream,53.2659281,-6.1741891,
dublin,w1452655959,St Bride's Stream,water,waterway=stream,53.2656767,-6.1735041,
dublin,w1452655960,St Bride's Stream,water,waterway=stream,53.2662533,-6.1689239,
dublin,w1452655961,St Bride's Stream,water,waterway=stream,53.2657498,-6.1661536,
dublin,w1452928473,,water,waterway=stream,53.2247404,-6.1454734,
dublin,w1452928474,,water,waterway=stream,53.2253573,-6.144858,
dublin,w1452928475,,water,waterway=stream,53.225848,-6.1435188,
dublin,w1452928476,,water,waterway=stream,53.2248551,-6.1422572,
dublin,w1452928478,,water,waterway=stream,53.2257178,-6.1403182,
dublin,w1452928479,,water,waterway=stream,53.2259545,-6.1400658,
dublin,w1452928480,,water,waterway=stream,53.2261651,-6.1398395,
dublin,w1452928481,,water,waterway=stream,53.2263495,-6.1395919,
dublin,w1452928482,,water,waterway=stream,53.2265685,-6.1391909,
dublin,w1452928483,,water,waterway=stream,53.2265891,-6.1390505,
dublin,w1452928484,,water,waterway=stream,53.2265302,-6.1393508,
dublin,w1452928485,,water,waterway=stream,53.2245687,-6.1465071,
dublin,w1452928493,Crinken Stream,water,waterway=stream,53.2163822,-6.1198232,
dublin,w1453214966,,water,natural=water,53.2537266,-6.187772,
dublin,w1454550844,,water,natural=water,53.2639734,-6.1317164,
dublin,w1454562857,,water,waterway=stream,53.3025861,-6.418022,
dublin,w1454562858,,water,waterway=stream,53.3021325,-6.417894,
dublin,w1454706689,,water,waterway=stream,53.2668174,-6.1261251,
dublin,w1454706690,,water,waterway=stream,53.2733228,-6.1357443,
dublin,w1454736960,,water,waterway=stream,53.2825467,-6.1468848,
dublin,w1454736961,,water,waterway=stream,53.2928195,-6.150261,
dublin,w1454736962,,water,waterway=stream,53.2924478,-6.1524512,
dublin,w1454736963,,water,waterway=stream,53.2928077,-6.1515676,
dublin,w1454736964,,water,waterway=stream,53.2934903,-6.1594195,
dublin,w1454736965,,water,waterway=stream,53.2936889,-6.1605369,
dublin,w1454736966,,water,waterway=stream,53.2935734,-6.1601155,
dublin,w1454736967,,water,waterway=stream,53.293336,-6.1621579,
dublin,w1454738157,,water,waterway=stream,53.2806868,-6.1257746,
dublin,w1454740333,,water,waterway=stream,53.276709,-6.1137137,
dublin,w1454740591,,water,waterway=stream,53.2674916,-6.177644,
dublin,w1454742284,,water,waterway=stream,53.2789188,-6.1649038,
dublin,w1454742285,,water,waterway=stream,53.280198,-6.1638012,
dublin,w1454742286,,water,waterway=stream,53.28126,-6.163234,
dublin,w1454764457,,water,waterway=stream,53.2819811,-6.1626898,
dublin,w1454772459,,water,waterway=stream,53.2919291,-6.1669811,
dublin,w1454772460,,water,waterway=stream,53.2915008,-6.1666905,
dublin,w1454772461,,water,waterway=stream,53.2910116,-6.1677441,
dublin,w1454772462,,water,waterway=stream,53.2900099,-6.1678968,
dublin,w1454772463,,water,waterway=stream,53.2896832,-6.1699846,
dublin,w1454772464,,water,waterway=stream,53.2885285,-6.1725616,
dublin,w1454772465,,water,waterway=stream,53.2872927,-6.1704614,
dublin,w1454777074,,water,waterway=stream,53.2714564,-6.1633077,
dublin,w1454777075,,water,waterway=stream,53.2679122,-6.1561766,
dublin,w1454777076,,water,waterway=stream,53.2691009,-6.1535593,
dublin,w1454943534,Abbey Stream,water,waterway=stream,53.3318185,-6.2816909,
dublin,w1454943535,Abbey Stream,water,waterway=stream,53.3325643,-6.2823421,
dublin,w1454943537,Poddle,water,waterway=stream,53.335248,-6.2771009,
dublin,w1454943538,Poddle,water,waterway=stream,53.3363461,-6.2773546,
