approval_number,establishment_name,address,county,country,source
122,ZT Fish Company,"Ryan, Waters Edge, Ownahincha, Rosscarbery",Cork,Ireland,sfpa
127,Paulona Seafood Ltd,"Ballyrussell, Midleton",Cork,Ireland,sfpa
129,Atlantic Shellfish Limited T/A Rossmore Oysters,"Rossmore, Carrigtwohill",Cork,Ireland,sfpa
53,Good Fish Processing Ltd,"Shanbally, Ringaskiddy",Co. Cork,Ireland,sfpa
141,Kay O'Connell Ltd T/A Kay O'Connell Fish Merchants,"Unit 1 Cloghmacsimon Industrial Estate, Bandon, P72 HV18",Co. Cork,Ireland,sfpa
143,Bantry Bay Mussels Limited,"Lahane, Bantry, P75 CX71",Co. Cork,Ireland,sfpa
144,Finbarr Clohessy,"Grattan Street, Youghal, P36 WF67",Cork,Ireland,sfpa
7,Island Seafoods Ltd,"Carricknamohill, Killybegs",Donegal,Ireland,sfpa
17,Norfish Ltd,"The Glebe, Killybegs",Donegal,Ireland,sfpa
18,Donegal Fish,"Roshine Road, Killybegs",Donegal,Ireland,sfpa
29,Atlanfish Ltd,"Malin Road, Cardonagh",Donegal,Ireland,sfpa
30,Byrne Seafoods,"Beaugh, Malin Town",Donegal,Ireland,sfpa
35,Sean Ward Fish Exports Ltd,"Roshine Road, Killybegs",Donegal,Ireland,sfpa
36,Molloy's Fish (Killybegs) Ltd - Formally Fish Sales Killybegs Ltd,"Stragar, Killybegs",Donegal,Ireland,sfpa
38,Foyle Fishermen's Co-Op,"The Pier, Greencastle",Donegal,Ireland,sfpa
41,Arctic Fish (Processing) Co. Unlimited T/A Artic Fish Processing ULC,"Roshine Road, Killybegs",Donegal,Ireland,sfpa
43,Starcrest Seafoods Ltd,"The Mullins, Old Laghey Road, Donegal Town",Donegal,Ireland,sfpa
47,Ward Seafoods Teo,"Tullyillion, Burtonport",Donegal,Ireland,sfpa
51,Sliogeisc na Rossan T/A Irish Premier Oysters Ltd,"Traigheanna Bay, Drimlaughdrid, Lettermacaward,",Donegal,Ireland,sfpa
55,North Cape Seafoods Ltd,Greencastle,Donegal,Ireland,sfpa
58,Ocean Farm Ltd,"Donegal Road, Killybegs",Donegal,Ireland,sfpa
60,PFP Teoranta T/A Premier Fish Products (Killybegs),"Stoneyhill, Killybegs",Donegal,Ireland,sfpa
64,Mulroy Bay Mussels Ltd,"Drim, Cranford, Letterkenny",Donegal,Ireland,sfpa
66,Tradalai Eisc Ui Hannagain Teoranta (Burtonport) T/A Hannigan Live Irish Shellfish,"Killybegs,",Donegal,Ireland,sfpa
67,Atlantic Fresh Seafoods Limited,"Fanaghans, Inver",Donegal,Ireland,sfpa
76,McElchar International Transport Ltd,"Dromdoit, Castlefinn, Co. Donegal",Donegal,Ireland,sfpa
77,Atlantic Treasures Ltd,"Carricknamohill, Killybegs",Donegal,Ireland,sfpa
22,Kitestown Ltd T/A Wrights of Howth (Kitestown) Ltd,"14 West Pier, Howth",Dublin,Ireland,sfpa
23,Wrights of Marino Manufacturing Ltd,"1 Claremount Industrial Estate, Howth",Dublin,Ireland,sfpa
25,Oceanpath Ltd,"Claremont Industrial Estate, West Pier, Howth",Dublin,Ireland,sfpa
46,Rathcreedan Ltd T/A Sushi King,"Unit C, Liffey Trust Centre, 117/126 Upper Sherriff Street,",Dublin 1,Ireland,sfpa
65,Egan's Ocean Fresh,"15/16 Finglas Business Park, Tolka Valley Road, Finglas",Dublin,Ireland,sfpa
68,Dorans on the Pier,"7-8 West Pier, Howth",Dublin,Ireland,sfpa
73,Leo Burdock Ltd,"Unit 14 Cookstown Business Centre, Second Avenue, Crookstown Industrial Estate, Tallaght",Dublin,Ireland,sfpa
80,Wrights of Marino,"37-4-B, Claremont Industrial Estate, West Pier, Howth, Dublin, D13AY28",Dublin,Ireland,sfpa
82,George's Kitchen,"Units 1 & 2 Monkstown Court, Monkstown Farm, Dun Laoghaire",Dublin,Ireland,sfpa
85,Corindale Ltd,"Unit 13 Grange Avenue, Baldoyle Industrial Estate, Dublin 13, D13XN90",Dublin,Ireland,sfpa
87,Wilde Fish Distribution,"North Hill Rush, Co. Dublin, K56 WK 84",Dublin,Ireland,sfpa
88,Pingping Seafood Ltd,"Unit 22, Finglas Business Park, Tolka Valley Road, D11 KD 70",Dublin,Ireland,sfpa
10,Chillchiarain Eisc Teoranta T/A Kilkerrin Salmon Ltd,"Cill Chiarain, Connemara",Galway,Ireland,sfpa
91,Huitre Du Connemara Ltd T/A DK Connemara Oysters Ltd,"Ballinakill Bay, Dawros, Letterfrank",Galway,Ireland,sfpa
93,Gary Creaven Fish Sales,Menlo,Galway,Ireland,sfpa
94,Oliver Seoighe,"An Fhormna, Inish Oirr, Aran Islands",Galway,Ireland,sfpa
99,Iasc Inis Mor T/A Aran Islands Seafood Ltd,"Killeany, Kilronan, Aran Islands",Galway,Ireland,sfpa
102,Connemara Fisheries,Pairc Ghno Chorr na Mona,Galway,Ireland,sfpa
2,Iasc Uí Mathuna,"Ballyhea, An Daingean",Kerry,Ireland,sfpa
28,Kenmare Bay Seafoods,"Tuosist, Kenmare",Kerry,Ireland,sfpa
37,KRD Fishery Smokehouse,"The Fishery, Killorglin",Kerry,Ireland,sfpa
1,Goatsbridge Fish Processors Ltd,"Jerpoint, Thomastown",Kilkenny,Ireland,sfpa
3,Fishman's Market,"Unit 16B, 16 Hebron Business Park",Kilkenny,Ireland,sfpa
44,Ocean Dragon Ltd,"Port Oriel, Clogherhead",Louth,Ireland,sfpa
52,DC Lambay Ltd,"Summer Hill, Louth Village, Dundalk",Louth,Ireland,sfpa
39,Roscahil Seafoods,"Kilmeena, Wesport",Mayo,Ireland,sfpa
5,Cheflink (Navan),"Cloncullen, Robinstown, Navan, Co. Meath C15 X3 TW",Meath,Ireland,sfpa
