approval_number,establishment_name,address,county,country,source
2877,Regan Organic Produce,"Enniscorthy, Wexford",Wexford,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2678,Reilly's Victuallers LTD,"Ballina, Mayo",Mayo,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
3047,Renegade Trading,"Cashel, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2350,Richard Doyle,"Cleariestown, Wexford",Wexford,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
3035,Robert's Butchery & Smokehouse LTD,"Navan, Meath",Meath,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
3045,Rocksalt Catering Production Kitchen,"Dundalk, Louth",Louth,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2591,Roger O'Sullivan,"Kenmare, Kerry",Kerry,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2541,Ronald Rawle,"Ballinalee, Longford",Longford,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2876,Ronan Byrne T/A The Friendly Farmer,"Athenry, Galway",Galway,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2486,Rory O'Sullivan,"Kilmallock, Limerick",Limerick,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2871,S & S Duffy Meats LTD,"Gort, Galway",Galway,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2376,Sandyford Meats Ltd,"Sandyford, Dublin",Dublin,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2465,Sean Fitzgerald,"Ballylanders, Limerick",Limerick,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2567,Sean Hughes,"Kilkee, Clare",Clare,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2404,Sean Rooney,"Kinlough, Leitrim",Leitrim,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2840,Secret Recipe Ltd,"Ballincollig, Cork",Cork,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2859,Shamrock Casings,"Strokestown, Roscommon",Roscommon,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2530,Sheehan Meats,"Bennekerry, Carlow",Carlow,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2448,Sheelin Meats,"Finea, Cavan",Cavan,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2462,Shortts Ltd,"Castleblaney, Monaghan",Monaghan,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2493,Slievenamon Meats,"Thurles, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2074,Smokin Bones Production LTD,"Oxnamtown Lane, Dublin",Dublin,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2758,Sneem Meats Ltd,"Sneem, Kerry",Kerry,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2915,Stela Foods,"Drogheda, Louth",Louth,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2893,Steven Goode T/A The Good Life Company,"Arklow, Wicklow",Wicklow,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2880,Strand Foods Ltd,"Ballaugh, Limerick",Limerick,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2671,Sysco Foods Ireland Unlimited Company,"Newcastlewest, Limerick",Limerick,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2881,Sysco Foods Ireland Unlimited Company,"Killamonan, Dublin",Dublin,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2816,T Cronin & Sons,"Killarney, Kerry",Kerry,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2302,Tavanamore Meats,"Dundalk, Louth",Louth,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2843,TCF Foods Ltd,"Ferrybank, Kilkenny",Kilkenny,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2892,Templetuohy Farm Fresh Foods Ltd,"Cashel, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2854,Templetuohy Foods Ltd,"Thurles, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2948,The Chicken Inn,"Ballyvolane, Cork",Cork,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
3037,The Gourmet Butcher,"Clonmel, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2968,The Irish Biltong Company LTD,"Naas, Kildare",Kildare,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
844,The Mill Road Game Larder,"Killarney, Kerry",Kerry,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
3036,The Smokin'Butcher LTD,"Navan, Meath",Meath,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2523,Thomas Ashe,"Annascaul, Kerry",Kerry,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2686,Thomas Conroy,"Shrule, Mayo",Mayo,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2966,Thomas Doherty Meats (Kells) LTD T/A Thomas Doherty,"Kells, Meath",Meath,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2614,Thomas Lydon,"Maam, Galway",Galway,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2588,Thomas Myles,"Ardfinnan, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2436,Thurles Bacon,"Thurles, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2456,Tim Murphy,"Bantry, Cork",Cork,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2628,Timy Considene T/A Hanley's Butchers,"Mitchelstown, Cork",Cork,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2625,Tom Brouder Athea Homemade Puddings,"Loughill, Limerick",Limerick,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2403,Tom Connolly Meats,"Claremorris, Mayo",Mayo,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2356,Tom Whelan Meat Products Ltd,"Clondalkin, Dublin",Dublin,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2904,Tony Butler Meats,"Rosslare, Wexford",Wexford,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2684,Tony Carolan,"Castlebar, Mayo",Mayo,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2386,Tony Fahy Wholesale Meats LTD,"Loughrea, Galway",Galway,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2563,Tony Kieran LTD,"Dundalk, Louth",Louth,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2337,Tullamore Meats Co-Operative,"Tullamore, Offaly",Offaly,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2474,Tynan Meats Limited,"Johnstown, Kilkenny",Kilkenny,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2316,Ummera Smoke House LTD T/A Ummera Smoke Products LTD,"Timoleague, Cork",Cork,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2635,Una O'Dwyer Ltd T/A Cashel Fine Foods,"Cashel, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
