alert_id,date,title,category,country_origin,hazard_type,approval_numbers,product_name,source_url
2024.14,2024-04-19,Recall of a batch of Ella’s Kitchen Chicken and Veg with Sweetcorn Mash due to the presence of furans and methylfurans,For Action,France,Nature Of Danger:,,Ella’s Kitchen Chicken and Veg with Sweetcorn Mash; pack size: 130g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-ella-s-kitchen-chicken-and-ve
2026.04,2026-02-05,Recall of a batch of Et Voilá Pains au Chocolat due to the possible presence of metal pieces,For Action,,foreign body,,Et Voilá! Pains au Chocolat; pack size: 4 pack,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-et-voila-pain-au-chocolat-due
2025.63,2025-11-19,"Recall of a batch of Favourit Sage due to possible choking risk from pieces of stalk, bark and plastic",For Action,,Recall of a batch of Favourit Sage due to possible choking risk from pieces of s,,"Favourit, The Chef’s Choice, Earthy & Aromatic Sage; pack size: 150 g",https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-favourit-sage-due-to-possible
2023.29,2023-11-21,Recall of a batch of Lidl Fin Carré White Chocolate due to the possible presence of plastic pieces,For Action,Germany,Recall of a batch of Lidl Fin Carré White Chocolate due to the possible presence,,Fin Carré White Chocolate; pack size: 100g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-fin-carre-white-chocolate
2022.01,2022-01-06,Recall of a Batch of Finders Foods Chicken Liver Pate Due to Mislabelling with an Incorrect Use-by D,,Ireland,Recall of a Batch of Finders Foods Chicken Liver Pate Due to Mislabelling with a,,"Finders Foods Chicken Liver Pate, pack size: 170 g",https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-finders-foods-chicken-liver-p
2024.12,2024-04-11,Recall of a batch of Foran Healthcare Glycerine and Aniseed Soothing Syrup due to the possible presence of peppermint oil,For Action,Ireland,Recall of a batch of Foran Healthcare Glycerine and Aniseed Soothing Syrup due t,,Foran Healthcare Glycerine & Aniseed Soothing Syrup; pack size: 50g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-foran-healthcare-glycerin-and
2022.68,2022-11-11,Recall of a Batch of Fortified Immunity Selenium Food Supplement due to Distribution Past Expiry Date,,Unknown,Recall of a Batch of Fortified Immunity Selenium Food Supplement due to Distribu,,Fortified Immunity Selenium; pack size: 60 capsule,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-fortified-immunity-selenium-f
2022.26,2022-04-14,Recall of a Batch of Fray Bentos Just Chicken Pie Due to Possible Presence of Small Plastic Pieces,,United Kingdom,Recall of a Batch of Fray Bentos Just Chicken Pie Due to Possible Presence of Sm,,"Fray Bentos Just Chicken Pie, pack size: 425g",https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-fray-bentos-just-chicken-pie
2026.21,2026-05-12,Recall of specific batches of Lidl Chicken Breast Fillet products due to the presence of Salmonella,For Action,Ireland,Nature Of Danger:,"803, 818",Please see table below for details.,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-free-range-100-irish-chicken
2022.27,2022-05-05,Recall of a Batch of Frozen Jona Red Tilapia Fish due to the Presence of Malachite Green and Leucomalachite Green,For Action,Vietnam,Nature Of Danger:,,Jona Red Tilapia Fish (frozen),https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-frozen-jona-red-tilapia-fish
2023.12,2023-05-12,Recall of a batch of Full Moon Frozen Shrimp due to the presence of Vibrio,For Action,Ecuador,Nature Of Danger:,,Full Moon Raw Frozen Shrimp; pack size: 2kg,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-full-moon-frozen-shrimp-due-t
2023.33,2023-11-27,Recall of a batch of Funktional Foods This Is  Hemp Powder due to  elevated levels of Delta‐9‐tetrahydrocannabinol (THC),For Action,United Kingdom,Recall of a batch of Funktional Foods This Is Hemp Powder due to elevated levels,,Funktional Foods This Is Hemp Powder; pack size 100g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-funktional-foods-this-is-hemp
